Date,是否中国假期
6/26/2024,工作日
6/25/2024,工作日
6/24/2024,工作日
6/23/2024,周末
6/22/2024,周末
6/21/2024,工作日
6/20/2024,工作日
6/19/2024,工作日
6/18/2024,工作日
6/17/2024,工作日
6/16/2024,周末
6/15/2024,周末
6/14/2024,工作日
6/13/2024,工作日
6/12/2024,工作日
6/11/2024,工作日
6/10/2024,假期
6/9/2024,假期
6/8/2024,假期
6/7/2024,工作日
6/6/2024,工作日
6/5/2024,工作日
6/4/2024,工作日
6/3/2024,工作日
6/2/2024,周末
6/1/2024,周末
5/31/2024,工作日
5/30/2024,工作日
5/29/2024,工作日
5/28/2024,工作日
5/27/2024,工作日
5/26/2024,周末
5/25/2024,周末
5/24/2024,工作日
5/23/2024,工作日
5/22/2024,工作日
5/21/2024,工作日
5/20/2024,工作日
5/19/2024,周末
5/18/2024,周末
5/17/2024,工作日
5/16/2024,工作日
5/15/2024,工作日
5/14/2024,工作日
5/13/2024,工作日
5/12/2024,周末
5/11/2024,补班
5/10/2024,工作日
5/9/2024,工作日
5/8/2024,工作日
5/7/2024,工作日
5/6/2024,工作日
5/5/2024,假期
5/4/2024,假期
5/3/2024,假期
5/2/2024,假期
5/1/2024,假期
4/30/2024,工作日
4/29/2024,工作日
4/28/2024,补班
4/27/2024,周末
4/26/2024,工作日
4/25/2024,工作日
4/24/2024,工作日
4/23/2024,工作日
4/22/2024,工作日
4/21/2024,周末
4/20/2024,周末
4/19/2024,工作日
4/18/2024,工作日
4/17/2024,工作日
4/16/2024,工作日
4/15/2024,工作日
4/14/2024,周末
4/13/2024,周末
4/12/2024,工作日
4/11/2024,工作日
4/10/2024,工作日
4/9/2024,工作日
4/8/2024,工作日
4/7/2024,补班
4/6/2024,假期
4/5/2024,假期
4/4/2024,假期
4/3/2024,工作日
4/2/2024,工作日
4/1/2024,工作日
3/31/2024,周末
3/30/2024,周末
3/29/2024,工作日
3/28/2024,工作日
3/27/2024,工作日
3/26/2024,工作日
3/25/2024,工作日
3/24/2024,周末
3/23/2024,周末
3/22/2024,工作日
3/21/2024,工作日
3/20/2024,工作日
3/19/2024,工作日
3/18/2024,工作日
3/17/2024,周末
3/16/2024,周末
3/15/2024,工作日
3/14/2024,工作日
3/13/2024,工作日
3/12/2024,工作日
3/11/2024,工作日
3/10/2024,周末
3/9/2024,周末
3/8/2024,工作日
3/7/2024,工作日
3/6/2024,工作日
3/5/2024,工作日
3/4/2024,工作日
3/3/2024,周末
3/2/2024,周末
3/1/2024,工作日
2/29/2024,工作日
2/28/2024,工作日
2/27/2024,工作日
2/26/2024,工作日
2/25/2024,周末
2/24/2024,周末
2/23/2024,工作日
2/22/2024,工作日
2/21/2024,工作日
2/20/2024,工作日
2/19/2024,工作日
2/18/2024,补班
2/17/2024,假期
2/16/2024,假期
2/15/2024,假期
2/14/2024,假期
2/13/2024,假期
2/12/2024,假期
2/11/2024,假期
2/10/2024,假期
2/9/2024,工作日
2/8/2024,工作日
2/7/2024,工作日
2/6/2024,工作日
2/5/2024,工作日
2/4/2024,补班
2/3/2024,周末
2/2/2024,工作日
2/1/2024,工作日
1/31/2024,工作日
1/30/2024,工作日
1/29/2024,工作日
1/28/2024,周末
1/27/2024,周末
1/26/2024,工作日
1/25/2024,工作日
1/24/2024,工作日
1/23/2024,工作日
1/22/2024,工作日
1/21/2024,周末
1/20/2024,周末
1/19/2024,工作日
1/18/2024,工作日
1/17/2024,工作日
1/16/2024,工作日
1/15/2024,工作日
1/14/2024,周末
1/13/2024,周末
1/12/2024,工作日
1/11/2024,工作日
1/10/2024,工作日
1/9/2024,工作日
1/8/2024,工作日
1/7/2024,周末
1/6/2024,周末
1/5/2024,工作日
1/4/2024,工作日
1/3/2024,工作日
1/2/2024,工作日
1/1/2024,假期
12/31/2023,假期
12/30/2023,假期
12/29/2023,工作日
12/28/2023,工作日
12/27/2023,工作日
12/26/2023,工作日
12/25/2023,工作日
12/24/2023,周末
12/23/2023,周末
12/22/2023,工作日
12/21/2023,工作日
12/20/2023,工作日
12/19/2023,工作日
12/18/2023,工作日
12/17/2023,周末
12/16/2023,周末
12/15/2023,工作日
12/14/2023,工作日
12/13/2023,工作日
12/12/2023,工作日
12/11/2023,工作日
12/10/2023,周末
12/9/2023,周末
12/8/2023,工作日
12/7/2023,工作日
12/6/2023,工作日
12/5/2023,工作日
12/4/2023,工作日
12/3/2023,周末
12/2/2023,周末
12/1/2023,工作日
11/30/2023,工作日
11/29/2023,工作日
11/28/2023,工作日
11/27/2023,工作日
11/26/2023,周末
11/25/2023,周末
11/24/2023,工作日
11/23/2023,工作日
11/22/2023,工作日
11/21/2023,工作日
11/20/2023,工作日
11/19/2023,周末
11/18/2023,周末
11/17/2023,工作日
11/16/2023,工作日
11/15/2023,工作日
11/14/2023,工作日
11/13/2023,工作日
11/12/2023,周末
11/11/2023,周末
11/10/2023,工作日
11/9/2023,工作日
11/8/2023,工作日
11/7/2023,工作日
11/6/2023,工作日
11/5/2023,周末
11/4/2023,周末
11/3/2023,工作日
11/2/2023,工作日
11/1/2023,工作日
10/31/2023,工作日
10/30/2023,工作日
10/29/2023,周末
10/28/2023,周末
10/27/2023,工作日
10/26/2023,工作日
10/25/2023,工作日
10/24/2023,工作日
10/23/2023,工作日
10/22/2023,周末
10/21/2023,周末
10/20/2023,工作日
10/19/2023,工作日
10/18/2023,工作日
10/17/2023,工作日
10/16/2023,工作日
10/15/2023,周末
10/14/2023,周末
10/13/2023,工作日
10/12/2023,工作日
10/11/2023,工作日
10/10/2023,工作日
10/9/2023,工作日
10/8/2023,补班
10/7/2023,补班
10/6/2023,假期
10/5/2023,假期
10/4/2023,假期
10/3/2023,假期
10/2/2023,假期
10/1/2023,假期
9/30/2023,假期
9/29/2023,假期
9/28/2023,工作日
9/27/2023,工作日
9/26/2023,工作日
9/25/2023,工作日
9/24/2023,周末
9/23/2023,周末
9/22/2023,工作日
9/21/2023,工作日
9/20/2023,工作日
9/19/2023,工作日
9/18/2023,工作日
9/17/2023,周末
9/16/2023,周末
9/15/2023,工作日
9/14/2023,工作日
9/13/2023,工作日
9/12/2023,工作日
9/11/2023,工作日
9/10/2023,周末
9/9/2023,周末
9/8/2023,工作日
9/7/2023,工作日
9/6/2023,工作日
9/5/2023,工作日
9/4/2023,工作日
9/3/2023,周末
9/2/2023,周末
9/1/2023,工作日
8/31/2023,工作日
8/30/2023,工作日
8/29/2023,工作日
8/28/2023,工作日
8/27/2023,周末
8/26/2023,周末
8/25/2023,工作日
8/24/2023,工作日
8/23/2023,工作日
8/22/2023,工作日
8/21/2023,工作日
8/20/2023,周末
8/19/2023,周末
8/18/2023,工作日
8/17/2023,工作日
8/16/2023,工作日
8/15/2023,工作日
8/14/2023,工作日
8/13/2023,周末
8/12/2023,周末
8/11/2023,工作日
8/10/2023,工作日
8/9/2023,工作日
8/8/2023,工作日
8/7/2023,工作日
8/6/2023,周末
8/5/2023,周末
8/4/2023,工作日
8/3/2023,工作日
8/2/2023,工作日
8/1/2023,工作日
7/31/2023,工作日
7/30/2023,周末
7/29/2023,周末
7/28/2023,工作日
7/27/2023,工作日
7/26/2023,工作日
7/25/2023,工作日
7/24/2023,工作日
7/23/2023,周末
7/22/2023,周末
7/21/2023,工作日
7/20/2023,工作日
7/19/2023,工作日
7/18/2023,工作日
7/17/2023,工作日
7/16/2023,周末
7/15/2023,周末
7/14/2023,工作日
7/13/2023,工作日
7/12/2023,工作日
7/11/2023,工作日
7/10/2023,工作日
7/9/2023,周末
7/8/2023,周末
7/7/2023,工作日
7/6/2023,工作日
7/5/2023,工作日
7/4/2023,工作日
7/3/2023,工作日
7/2/2023,周末
7/1/2023,周末
6/30/2023,工作日
6/29/2023,工作日
6/28/2023,工作日
6/27/2023,工作日
6/26/2023,工作日
6/25/2023,补班
6/24/2023,假期
6/23/2023,假期
6/22/2023,假期
6/21/2023,工作日
6/20/2023,工作日
6/19/2023,工作日
6/18/2023,周末
6/17/2023,周末
6/16/2023,工作日
6/15/2023,工作日
6/14/2023,工作日
6/13/2023,工作日
6/12/2023,工作日
6/11/2023,周末
6/10/2023,周末
6/9/2023,工作日
6/8/2023,工作日
6/7/2023,工作日
6/6/2023,工作日
6/5/2023,工作日
6/4/2023,周末
6/3/2023,周末
6/2/2023,工作日
6/1/2023,工作日
5/31/2023,工作日
5/30/2023,工作日
5/29/2023,工作日
5/28/2023,周末
5/27/2023,周末
5/26/2023,工作日
5/25/2023,工作日
5/24/2023,工作日
5/23/2023,工作日
5/22/2023,工作日
5/21/2023,周末
5/20/2023,周末
5/19/2023,工作日
5/18/2023,工作日
5/17/2023,工作日
5/16/2023,工作日
5/15/2023,工作日
5/14/2023,周末
5/13/2023,周末
5/12/2023,工作日
5/11/2023,工作日
5/10/2023,工作日
5/9/2023,工作日
5/8/2023,工作日
5/7/2023,周末
5/6/2023,补班
5/5/2023,工作日
5/4/2023,工作日
5/3/2023,假期
5/2/2023,假期
5/1/2023,假期
4/30/2023,假期
4/29/2023,假期
4/28/2023,工作日
4/27/2023,工作日
4/26/2023,工作日
4/25/2023,工作日
4/24/2023,工作日
4/23/2023,补班
4/22/2023,周末
4/21/2023,工作日
4/20/2023,工作日
4/19/2023,工作日
4/18/2023,工作日
4/17/2023,工作日
4/16/2023,周末
4/15/2023,周末
4/14/2023,工作日
4/13/2023,工作日
4/12/2023,工作日
4/11/2023,工作日
4/10/2023,工作日
4/9/2023,周末
4/8/2023,周末
4/7/2023,工作日
4/6/2023,工作日
4/5/2023,假期
4/4/2023,工作日
4/3/2023,工作日
4/2/2023,周末
4/1/2023,周末
3/31/2023,工作日
3/30/2023,工作日
3/29/2023,工作日
3/28/2023,工作日
3/27/2023,工作日
3/26/2023,周末
3/25/2023,周末
3/24/2023,工作日
3/23/2023,工作日
3/22/2023,工作日
3/21/2023,工作日
3/20/2023,工作日
3/19/2023,周末
3/18/2023,周末
3/17/2023,工作日
3/16/2023,工作日
3/15/2023,工作日
3/14/2023,工作日
3/13/2023,工作日
3/12/2023,周末
3/11/2023,周末
3/10/2023,工作日
3/9/2023,工作日
3/8/2023,工作日
3/7/2023,工作日
3/6/2023,工作日
3/5/2023,周末
3/4/2023,周末
3/3/2023,工作日
3/2/2023,工作日
3/1/2023,工作日
2/28/2023,工作日
2/27/2023,工作日
2/26/2023,周末
2/25/2023,周末
2/24/2023,工作日
2/23/2023,工作日
2/22/2023,工作日
2/21/2023,工作日
2/20/2023,工作日
2/19/2023,周末
2/18/2023,周末
2/17/2023,工作日
2/16/2023,工作日
2/15/2023,工作日
2/14/2023,工作日
2/13/2023,工作日
2/12/2023,周末
2/11/2023,周末
2/10/2023,工作日
2/9/2023,工作日
2/8/2023,工作日
2/7/2023,工作日
2/6/2023,工作日
2/5/2023,周末
2/4/2023,周末
2/3/2023,工作日
2/2/2023,工作日
2/1/2023,工作日
1/31/2023,工作日
1/30/2023,工作日
1/29/2023,补班
1/28/2023,补班
1/27/2023,假期
1/26/2023,假期
1/25/2023,假期
1/24/2023,假期
1/23/2023,假期
1/22/2023,假期
1/21/2023,假期
1/20/2023,工作日
1/19/2023,工作日
1/18/2023,工作日
1/17/2023,工作日
1/16/2023,工作日
1/15/2023,周末
1/14/2023,周末
1/13/2023,工作日
1/12/2023,工作日
1/11/2023,工作日
1/10/2023,工作日
1/9/2023,工作日
1/8/2023,周末
1/7/2023,周末
1/6/2023,工作日
1/5/2023,工作日
1/4/2023,工作日
1/3/2023,工作日
1/2/2023,假期
1/1/2023,假期
12/31/2022,假期
12/30/2022,工作日
12/29/2022,工作日
12/28/2022,工作日
12/27/2022,工作日
12/26/2022,工作日
12/25/2022,周末
12/24/2022,周末
12/23/2022,工作日
12/22/2022,工作日
12/21/2022,工作日
12/20/2022,工作日
12/19/2022,工作日
12/18/2022,周末
12/17/2022,周末
12/16/2022,工作日
12/15/2022,工作日
12/14/2022,工作日
12/13/2022,工作日
12/12/2022,工作日
12/11/2022,周末
12/10/2022,周末
12/9/2022,工作日
12/8/2022,工作日
12/7/2022,工作日
12/6/2022,工作日
12/5/2022,工作日
12/4/2022,周末
12/3/2022,周末
12/2/2022,工作日
12/1/2022,工作日
11/30/2022,工作日
11/29/2022,工作日
11/28/2022,工作日
11/27/2022,周末
11/26/2022,周末
11/25/2022,工作日
11/24/2022,工作日
11/23/2022,工作日
11/22/2022,工作日
11/21/2022,工作日
11/20/2022,周末
11/19/2022,周末
11/18/2022,工作日
11/17/2022,工作日
11/16/2022,工作日
11/15/2022,工作日
11/14/2022,工作日
11/13/2022,周末
11/12/2022,周末
11/11/2022,工作日
11/10/2022,工作日
11/9/2022,工作日
11/8/2022,工作日
11/7/2022,工作日
11/6/2022,周末
11/5/2022,周末
11/4/2022,工作日
11/3/2022,工作日
11/2/2022,工作日
11/1/2022,工作日
10/31/2022,工作日
10/30/2022,周末
10/29/2022,周末
10/28/2022,工作日
10/27/2022,工作日
10/26/2022,工作日
10/25/2022,工作日
10/24/2022,工作日
10/23/2022,周末
10/22/2022,周末
10/21/2022,工作日
10/20/2022,工作日
10/19/2022,工作日
10/18/2022,工作日
10/17/2022,工作日
10/16/2022,周末
10/15/2022,周末
10/14/2022,工作日
10/13/2022,工作日
10/12/2022,工作日
10/11/2022,工作日
10/10/2022,工作日
10/9/2022,补班
10/8/2022,补班
10/7/2022,假期
10/6/2022,假期
10/5/2022,假期
10/4/2022,假期
10/3/2022,假期
10/2/2022,假期
10/1/2022,假期
9/30/2022,工作日
9/29/2022,工作日
9/28/2022,工作日
9/27/2022,工作日
9/26/2022,工作日
9/25/2022,周末
9/24/2022,周末
9/23/2022,工作日
9/22/2022,工作日
9/21/2022,工作日
9/20/2022,工作日
9/19/2022,工作日
9/18/2022,周末
9/17/2022,周末
9/16/2022,工作日
9/15/2022,工作日
9/14/2022,工作日
9/13/2022,工作日
9/12/2022,假期
9/11/2022,假期
9/10/2022,假期
9/9/2022,工作日
9/8/2022,工作日
9/7/2022,工作日
9/6/2022,工作日
9/5/2022,工作日
9/4/2022,周末
9/3/2022,周末
9/2/2022,工作日
9/1/2022,工作日
8/31/2022,工作日
8/30/2022,工作日
8/29/2022,工作日
8/28/2022,周末
8/27/2022,周末
8/26/2022,工作日
8/25/2022,工作日
8/24/2022,工作日
8/23/2022,工作日
8/22/2022,工作日
8/21/2022,周末
8/20/2022,周末
8/19/2022,工作日
8/18/2022,工作日
8/17/2022,工作日
8/16/2022,工作日
8/15/2022,工作日
8/14/2022,周末
8/13/2022,周末
8/12/2022,工作日
8/11/2022,工作日
8/10/2022,工作日
8/9/2022,工作日
8/8/2022,工作日
8/7/2022,周末
8/6/2022,周末
8/5/2022,工作日
8/4/2022,工作日
8/3/2022,工作日
8/2/2022,工作日
8/1/2022,工作日
7/31/2022,周末
7/30/2022,周末
7/29/2022,工作日
7/28/2022,工作日
7/27/2022,工作日
7/26/2022,工作日
7/25/2022,工作日
7/24/2022,周末
7/23/2022,周末
7/22/2022,工作日
7/21/2022,工作日
7/20/2022,工作日
7/19/2022,工作日
7/18/2022,工作日
7/17/2022,周末
7/16/2022,周末
7/15/2022,工作日
7/14/2022,工作日
7/13/2022,工作日
7/12/2022,工作日
7/11/2022,工作日
7/10/2022,周末
7/9/2022,周末
7/8/2022,工作日
7/7/2022,工作日
7/6/2022,工作日
7/5/2022,工作日
7/4/2022,工作日
7/3/2022,周末
7/2/2022,周末
7/1/2022,工作日
6/30/2022,工作日
6/29/2022,工作日
6/28/2022,工作日
6/27/2022,工作日
6/26/2022,周末
6/25/2022,周末
6/24/2022,工作日
6/23/2022,工作日
6/22/2022,工作日
6/21/2022,工作日
6/20/2022,工作日
6/19/2022,周末
6/18/2022,周末
6/17/2022,工作日
6/16/2022,工作日
6/15/2022,工作日
6/14/2022,工作日
6/13/2022,工作日
6/12/2022,周末
6/11/2022,周末
6/10/2022,工作日
6/9/2022,工作日
6/8/2022,工作日
6/7/2022,工作日
6/6/2022,工作日
6/5/2022,假期
6/4/2022,假期
6/3/2022,假期
6/2/2022,工作日
6/1/2022,工作日
5/31/2022,工作日
5/30/2022,工作日
5/29/2022,周末
5/28/2022,周末
5/27/2022,工作日
5/26/2022,工作日
5/25/2022,工作日
5/24/2022,工作日
5/23/2022,工作日
5/22/2022,周末
5/21/2022,周末
5/20/2022,工作日
5/19/2022,工作日
5/18/2022,工作日
5/17/2022,工作日
5/16/2022,工作日
5/15/2022,周末
5/14/2022,周末
5/13/2022,工作日
5/12/2022,工作日
5/11/2022,工作日
5/10/2022,工作日
5/9/2022,工作日
5/8/2022,周末
5/7/2022,补班
5/6/2022,工作日
5/5/2022,工作日
5/4/2022,假期
5/3/2022,假期
5/2/2022,假期
5/1/2022,假期
4/30/2022,假期
4/29/2022,工作日
4/28/2022,工作日
4/27/2022,工作日
4/26/2022,工作日
4/25/2022,工作日
4/24/2022,补班
4/23/2022,周末
4/22/2022,工作日
4/21/2022,工作日
4/20/2022,工作日
4/19/2022,工作日
4/18/2022,工作日
4/17/2022,周末
4/16/2022,周末
4/15/2022,工作日
4/14/2022,工作日
4/13/2022,工作日
4/12/2022,工作日
4/11/2022,工作日
4/10/2022,周末
4/9/2022,周末
4/8/2022,工作日
4/7/2022,工作日
4/6/2022,工作日
4/5/2022,假期
4/4/2022,假期
4/3/2022,假期
4/2/2022,补班
4/1/2022,工作日
3/31/2022,工作日
3/30/2022,工作日
3/29/2022,工作日
3/28/2022,工作日
3/27/2022,周末
3/26/2022,周末
3/25/2022,工作日
3/24/2022,工作日
3/23/2022,工作日
3/22/2022,工作日
3/21/2022,工作日
3/20/2022,周末
3/19/2022,周末
3/18/2022,工作日
3/17/2022,工作日
3/16/2022,工作日
3/15/2022,工作日
3/14/2022,工作日
3/13/2022,周末
3/12/2022,周末
3/11/2022,工作日
3/10/2022,工作日
3/9/2022,工作日
3/8/2022,工作日
3/7/2022,工作日
3/6/2022,周末
3/5/2022,周末
3/4/2022,工作日
3/3/2022,工作日
3/2/2022,工作日
3/1/2022,工作日
2/28/2022,工作日
2/27/2022,周末
2/26/2022,周末
2/25/2022,工作日
2/24/2022,工作日
2/23/2022,工作日
2/22/2022,工作日
2/21/2022,工作日
2/20/2022,周末
2/19/2022,周末
2/18/2022,工作日
2/17/2022,工作日
2/16/2022,工作日
2/15/2022,工作日
2/14/2022,工作日
2/13/2022,周末
2/12/2022,周末
2/11/2022,工作日
2/10/2022,工作日
2/9/2022,工作日
2/8/2022,工作日
2/7/2022,工作日
2/6/2022,假期
2/5/2022,假期
2/4/2022,假期
2/3/2022,假期
2/2/2022,假期
2/1/2022,假期
1/31/2022,假期
1/30/2022,补班
1/29/2022,补班
1/28/2022,工作日
1/27/2022,工作日
1/26/2022,工作日
1/25/2022,工作日
1/24/2022,工作日
1/23/2022,周末
1/22/2022,周末
1/21/2022,工作日
1/20/2022,工作日
1/19/2022,工作日
1/18/2022,工作日
1/17/2022,工作日
1/16/2022,周末
1/15/2022,周末
1/14/2022,工作日
1/13/2022,工作日
1/12/2022,工作日
1/11/2022,工作日
1/10/2022,工作日
1/9/2022,周末
1/8/2022,周末
1/7/2022,工作日
1/6/2022,工作日
1/5/2022,工作日
1/4/2022,工作日
1/3/2022,假期
1/2/2022,假期
1/1/2022,假期
12/31/2021,工作日
12/30/2021,工作日
12/29/2021,工作日
12/28/2021,工作日
12/27/2021,工作日
12/26/2021,周末
12/25/2021,周末
12/24/2021,工作日
12/23/2021,工作日
12/22/2021,工作日
12/21/2021,工作日
12/20/2021,工作日
12/19/2021,周末
12/18/2021,周末
12/17/2021,工作日
12/16/2021,工作日
12/15/2021,工作日
12/14/2021,工作日
12/13/2021,工作日
12/12/2021,周末
12/11/2021,周末
12/10/2021,工作日
12/9/2021,工作日
12/8/2021,工作日
12/7/2021,工作日
12/6/2021,工作日
12/5/2021,周末
12/4/2021,周末
12/3/2021,工作日
12/2/2021,工作日
12/1/2021,工作日
11/30/2021,工作日
11/29/2021,工作日
11/28/2021,周末
11/27/2021,周末
11/26/2021,工作日
11/25/2021,工作日
11/24/2021,工作日
11/23/2021,工作日
11/22/2021,工作日
11/21/2021,周末
11/20/2021,周末
11/19/2021,工作日
11/18/2021,工作日
11/17/2021,工作日
11/16/2021,工作日
11/15/2021,工作日
11/14/2021,周末
11/13/2021,周末
11/12/2021,工作日
11/11/2021,工作日
11/10/2021,工作日
11/9/2021,工作日
11/8/2021,工作日
11/7/2021,周末
11/6/2021,周末
11/5/2021,工作日
11/4/2021,工作日
11/3/2021,工作日
11/2/2021,工作日
11/1/2021,工作日
10/31/2021,周末
10/30/2021,周末
10/29/2021,工作日
10/28/2021,工作日
10/27/2021,工作日
10/26/2021,工作日
10/25/2021,工作日
10/24/2021,周末
10/23/2021,周末
10/22/2021,工作日
10/21/2021,工作日
10/20/2021,工作日
10/19/2021,工作日
10/18/2021,工作日
10/17/2021,周末
10/16/2021,周末
10/15/2021,工作日
10/14/2021,工作日
10/13/2021,工作日
10/12/2021,工作日
10/11/2021,工作日
10/10/2021,周末
10/9/2021,补班
10/8/2021,工作日
10/7/2021,假期
10/6/2021,假期
10/5/2021,假期
10/4/2021,假期
10/3/2021,假期
10/2/2021,假期
10/1/2021,假期
9/30/2021,工作日
9/29/2021,工作日
9/28/2021,工作日
9/27/2021,工作日
9/26/2021,补班
9/25/2021,周末
9/24/2021,工作日
9/23/2021,工作日
9/22/2021,工作日
9/21/2021,假期
9/20/2021,假期
9/19/2021,假期
9/18/2021,补班
9/17/2021,工作日
9/16/2021,工作日
9/15/2021,工作日
9/14/2021,工作日
9/13/2021,工作日
9/12/2021,周末
9/11/2021,周末
9/10/2021,工作日
9/9/2021,工作日
9/8/2021,工作日
9/7/2021,工作日
9/6/2021,工作日
9/5/2021,周末
9/4/2021,周末
9/3/2021,工作日
9/2/2021,工作日
9/1/2021,工作日
8/31/2021,工作日
8/30/2021,工作日
8/29/2021,周末
8/28/2021,周末
8/27/2021,工作日
8/26/2021,工作日
8/25/2021,工作日
8/24/2021,工作日
8/23/2021,工作日
8/22/2021,周末
8/21/2021,周末
8/20/2021,工作日
8/19/2021,工作日
8/18/2021,工作日
8/17/2021,工作日
8/16/2021,工作日
8/15/2021,周末
8/14/2021,周末
8/13/2021,工作日
8/12/2021,工作日
8/11/2021,工作日
8/10/2021,工作日
8/9/2021,工作日
8/8/2021,周末
8/7/2021,周末
8/6/2021,工作日
8/5/2021,工作日
8/4/2021,工作日
8/3/2021,工作日
8/2/2021,工作日
8/1/2021,周末
7/31/2021,周末
7/30/2021,工作日
7/29/2021,工作日
7/28/2021,工作日
7/27/2021,工作日
7/26/2021,工作日
7/25/2021,周末
7/24/2021,周末
7/23/2021,工作日
7/22/2021,工作日
7/21/2021,工作日
7/20/2021,工作日
7/19/2021,工作日
7/18/2021,周末
7/17/2021,周末
7/16/2021,工作日
7/15/2021,工作日
7/14/2021,工作日
7/13/2021,工作日
7/12/2021,工作日
7/11/2021,周末
7/10/2021,周末
7/9/2021,工作日
7/8/2021,工作日
7/7/2021,工作日
7/6/2021,工作日
7/5/2021,工作日
7/4/2021,周末
7/3/2021,周末
7/2/2021,工作日
7/1/2021,工作日
6/30/2021,工作日
6/29/2021,工作日
6/28/2021,工作日
6/27/2021,周末
6/26/2021,周末
6/25/2021,工作日
6/24/2021,工作日
6/23/2021,工作日
6/22/2021,工作日
6/21/2021,工作日
6/20/2021,周末
6/19/2021,周末
6/18/2021,工作日
6/17/2021,工作日
6/16/2021,工作日
6/15/2021,工作日
6/14/2021,假期
6/13/2021,假期
6/12/2021,假期
6/11/2021,工作日
6/10/2021,工作日
6/9/2021,工作日
6/8/2021,工作日
6/7/2021,工作日
6/6/2021,周末
6/5/2021,周末
6/4/2021,工作日
6/3/2021,工作日
6/2/2021,工作日
6/1/2021,工作日
